representative,n,g,avoidance,certificate_avoidance,status,seconds,stdout
12345678,11,83923,39832877,39832877,PASS,0.076148,tau=12345678 n=11 g_3=83923 Av_11=39832877
12345678,12,2410291,476591309,476591309,PASS,0.180196,tau=12345678 n=12 g_4=2410291 Av_12=476591309
12345768,11,83922,39832878,39832878,PASS,0.095566,tau=12345768 n=11 g_3=83922 Av_11=39832878
12345768,12,2410189,476591411,476591411,PASS,0.217814,tau=12345768 n=12 g_4=2410189 Av_12=476591411
12345786,11,84012,39832788,39832788,PASS,0.024566,tau=12345786 n=11 g_3=84012 Av_11=39832788
12345786,12,2414998,476586602,476586602,PASS,0.150567,tau=12345786 n=12 g_4=2414998 Av_12=476586602
12346578,11,83922,39832878,39832878,PASS,0.009781,tau=12346578 n=11 g_3=83922 Av_11=39832878
12346578,12,2410185,476591415,476591415,PASS,0.204824,tau=12346578 n=12 g_4=2410185 Av_12=476591415
12346758,11,84097,39832703,39832703,PASS,0.007811,tau=12346758 n=11 g_3=84097 Av_11=39832703
12346758,12,2419280,476582320,476582320,PASS,0.188940,tau=12346758 n=12 g_4=2419280 Av_12=476582320
12346785,11,84019,39832781,39832781,PASS,0.007555,tau=12346785 n=11 g_3=84019 Av_11=39832781
12346785,12,2415712,476585888,476585888,PASS,0.145287,tau=12346785 n=12 g_4=2415712 Av_12=476585888
12346857,11,84099,39832701,39832701,PASS,0.007930,tau=12346857 n=11 g_3=84099 Av_11=39832701
12346857,12,2419494,476582106,476582106,PASS,0.156381,tau=12346857 n=12 g_4=2419494 Av_12=476582106
12346875,11,84101,39832699,39832699,PASS,0.007117,tau=12346875 n=11 g_3=84101 Av_11=39832699
12346875,12,2419696,476581904,476581904,PASS,0.162728,tau=12346875 n=12 g_4=2419696 Av_12=476581904
12347658,11,83922,39832878,39832878,PASS,0.007634,tau=12347658 n=11 g_3=83922 Av_11=39832878
12347658,12,2410175,476591425,476591425,PASS,0.172384,tau=12347658 n=12 g_4=2410175 Av_12=476591425
12347685,11,84101,39832699,39832699,PASS,0.006818,tau=12347685 n=11 g_3=84101 Av_11=39832699
12347685,12,2419701,476581899,476581899,PASS,0.197740,tau=12347685 n=12 g_4=2419701 Av_12=476581899
12347856,11,84018,39832782,39832782,PASS,0.007387,tau=12347856 n=11 g_3=84018 Av_11=39832782
12347856,12,2415604,476585996,476585996,PASS,0.162282,tau=12347856 n=12 g_4=2415604 Av_12=476585996
12347865,11,84017,39832783,39832783,PASS,0.007966,tau=12347865 n=11 g_3=84017 Av_11=39832783
12347865,12,2415507,476586093,476586093,PASS,0.158275,tau=12347865 n=12 g_4=2415507 Av_12=476586093
12348675,11,84015,39832785,39832785,PASS,0.007118,tau=12348675 n=11 g_3=84015 Av_11=39832785
12348675,12,2415301,476586299,476586299,PASS,0.180554,tau=12348675 n=12 g_4=2415301 Av_12=476586299
12354678,11,83922,39832878,39832878,PASS,0.009792,tau=12354678 n=11 g_3=83922 Av_11=39832878
12354678,12,2410185,476591415,476591415,PASS,0.163606,tau=12354678 n=12 g_4=2410185 Av_12=476591415
12354768,11,83921,39832879,39832879,PASS,0.007264,tau=12354768 n=11 g_3=83921 Av_11=39832879
12354768,12,2410082,476591518,476591518,PASS,0.156137,tau=12354768 n=12 g_4=2410082 Av_12=476591518
12354786,11,84012,39832788,39832788,PASS,0.008266,tau=12354786 n=11 g_3=84012 Av_11=39832788
12354786,12,2414986,476586614,476586614,PASS,0.152457,tau=12354786 n=12 g_4=2414986 Av_12=476586614
12356478,11,84101,39832699,39832699,PASS,0.007305,tau=12356478 n=11 g_3=84101 Av_11=39832699
12356478,12,2419660,476581940,476581940,PASS,0.147132,tau=12356478 n=12 g_4=2419660 Av_12=476581940
12356748,11,84111,39832689,39832689,PASS,0.010790,tau=12356748 n=11 g_3=84111 Av_11=39832689
12356748,12,2420687,476580913,476580913,PASS,0.158269,tau=12356748 n=12 g_4=2420687 Av_12=476580913
12356784,11,84019,39832781,39832781,PASS,0.006775,tau=12356784 n=11 g_3=84019 Av_11=39832781
12356784,12,2415764,476585836,476585836,PASS,0.144499,tau=12356784 n=12 g_4=2415764 Av_12=476585836
12356847,11,84279,39832521,39832521,PASS,0.007342,tau=12356847 n=11 g_3=84279 Av_11=39832521
12356847,12,2429085,476572515,476572515,PASS,0.152352,tau=12356847 n=12 g_4=2429085 Av_12=476572515
12356874,11,84110,39832690,39832690,PASS,0.007676,tau=12356874 n=11 g_3=84110 Av_11=39832690
12356874,12,2420640,476580960,476580960,PASS,0.155305,tau=12356874 n=12 g_4=2420640 Av_12=476580960
12357468,11,84186,39832614,39832614,PASS,0.007481,tau=12357468 n=11 g_3=84186 Av_11=39832614
12357468,12,2423968,476577632,476577632,PASS,0.188286,tau=12357468 n=12 g_4=2423968 Av_12=476577632
12357486,11,84277,39832523,39832523,PASS,0.006679,tau=12357486 n=11 g_3=84277 Av_11=39832523
