a,pattern,containing_hosts,component_total,component_pairs_tested,separation_failures,max_beta0,first_max_witness
1,1,6,6,0,0,1,123
2,12,23,24,1,0,2,3412
2,21,23,24,1,0,2,2143
3,123,78,80,2,0,2,14523
3,132,78,80,2,0,2,13254
3,213,78,80,2,0,2,21435
3,231,78,80,2,0,2,24153
3,312,78,80,2,0,2,31524
3,321,78,80,2,0,2,32541
4,1234,207,210,3,0,2,125634
4,1243,207,210,3,0,2,124365
4,1324,207,210,3,0,2,132546
4,1342,208,210,2,0,2,135264
4,1423,208,210,2,0,2,142635
4,1432,207,210,3,0,2,143652
4,2134,207,210,3,0,2,214356
4,2143,207,210,4,0,3,214365
4,2314,208,210,2,0,2,241536
4,2341,207,210,3,0,2,245163
4,2413,208,210,2,0,2,241635
4,2431,208,210,2,0,2,243651
4,3124,208,210,2,0,2,315246
4,3142,208,210,2,0,2,315264
4,3214,207,210,3,0,2,325416
4,3241,208,210,2,0,2,325461
4,3412,207,210,4,0,3,563412
4,3421,207,210,3,0,2,352641
4,4123,207,210,3,0,2,416235
4,4132,208,210,2,0,2,613254
4,4213,208,210,2,0,2,621435
4,4231,207,210,3,0,2,426351
4,4312,207,210,3,0,2,436512
4,4321,207,210,3,0,2,436521
5,12345,458,462,4,0,2,1236745
5,12354,458,462,4,0,2,1235476
5,12435,458,462,4,0,2,1243657
5,12453,459,462,3,0,2,1246375
5,12534,459,462,3,0,2,1253746
5,12543,458,462,4,0,2,1254763
5,13245,458,462,4,0,2,1325467
5,13254,458,462,5,0,3,1325476
5,13425,460,462,2,0,2,1352647
5,13452,459,462,3,0,2,1356274
5,13524,460,462,2,0,2,1352746
5,13542,460,462,2,0,2,1354762
5,14235,460,462,2,0,2,1426357
5,14253,460,462,2,0,2,1426375
5,14325,458,462,4,0,2,1436527
5,14352,460,462,2,0,2,1436572
5,14523,459,462,4,0,3,1674523
5,14532,459,462,3,0,2,1463752
5,15234,459,462,3,0,2,1527346
5,15243,460,462,2,0,2,1724365
5,15324,460,462,2,0,2,1732546
5,15342,459,462,3,0,2,1537462
5,15423,459,462,3,0,2,1547623
5,15432,458,462,4,0,2,1547632
5,21345,458,462,4,0,2,2136745
