class_id,size,representative,c8,c9,c10,c11,c12,c13,c14,Av8,Av9,Av10,Av11,Av12,Av13,Av14,cutoff
1,56,12345678,1,-16,153,-1140,7315,,,40319,362815,3626197,39832877,476591309,,,11
2,20,12345768,1,-16,153,-1141,7357,,,40319,362815,3626197,39832878,476591411,,,12
3,40,12345786,1,-16,154,-1172,7918,,,40319,362815,3626196,39832788,476586602,,,12
4,32,12346578,1,-16,153,-1141,7353,-43308,,40319,362815,3626197,39832878,476591415,6162162531,,13
5,32,12346758,1,-16,155,-1208,8672,,,40319,362815,3626195,39832703,476582320,,,12
6,32,12346785,1,-16,154,-1165,7624,,,40319,362815,3626196,39832781,476585888,,,12
7,32,12346857,1,-16,155,-1206,8598,,,40319,362815,3626195,39832701,476582106,,,12
8,32,12346875,1,-16,155,-1204,8512,,,40319,362815,3626195,39832699,476581904,,,12
9,16,12347658,1,-16,153,-1141,7343,-42808,,40319,362815,3626197,39832878,476591425,6162163721,,13
10,32,12347685,1,-16,155,-1204,8517,,,40319,362815,3626195,39832699,476581899,,,12
11,16,12347856,1,-16,154,-1166,7660,,,40319,362815,3626196,39832782,476585996,,,12
12,32,12347865,1,-16,154,-1167,7707,,,40319,362815,3626196,39832783,476586093,,,12
13,16,12348675,1,-16,154,-1169,7789,,,40319,362815,3626196,39832785,476586299,,,12
14,18,12354678,1,-16,153,-1141,7353,-43333,,40319,362815,3626197,39832878,476591415,6162162556,,13
15,12,12354768,1,-16,153,-1142,7394,,,40319,362815,3626197,39832879,476591518,,,12
16,24,12354786,1,-16,154,-1172,7906,-50724,,40319,362815,3626196,39832788,476586614,6161962922,,13
17,48,12356478,1,-16,155,-1204,8476,,,40319,362815,3626195,39832699,476581940,,,12
18,24,12356748,1,-16,155,-1194,8063,,,40319,362815,3626195,39832689,476580913,,,12
19,24,12356784,1,-16,154,-1165,7676,,,40319,362815,3626196,39832781,476585836,,,12
20,24,12356847,1,-16,157,-1268,9693,,,40319,362815,3626193,39832521,476572515,,,12
21,24,12356874,1,-16,155,-1195,8160,,,40319,362815,3626195,39832690,476580960,,,12
22,24,12357468,1,-16,156,-1240,9256,,,40319,362815,3626194,39832614,476577632,,,12
23,24,12357486,1,-16,157,-1270,9772,,,40319,362815,3626193,39832523,476572724,,,12
24,24,12357648,1,-16,156,-1236,9079,,,40319,362815,3626194,39832610,476577233,,,12
25,24,12357684,1,-16,155,-1197,8248,,,40319,362815,3626195,39832692,476581160,,,12
26,24,12357846,1,-16,156,-1229,8802,,,40319,362815,3626194,39832603,476576502,,,12
27,24,12357864,1,-16,156,-1232,8963,,,40319,362815,3626194,39832606,476576773,,,12
28,24,12358467,1,-16,157,-1272,9867,,,40319,362815,3626193,39832525,476572917,,,12
29,24,12358476,1,-16,156,-1235,9029,,,40319,362815,3626194,39832609,476577139,,,12
30,24,12358647,1,-16,158,-1304,10470,,,40319,362815,3626192,39832436,476568210,,,12
31,24,12358674,1,-16,156,-1232,8962,,,40319,362815,3626194,39832606,476576774,,,12
32,24,12358746,1,-16,157,-1268,9708,,,40319,362815,3626193,39832521,476572500,,,12
33,24,12358764,1,-16,155,-1197,8199,,,40319,362815,3626195,39832692,476581209,,,12
34,24,12365478,1,-16,153,-1141,7339,-42668,,40319,362815,3626197,39832878,476591429,6162164257,,13
35,24,12365748,1,-16,156,-1236,9086,,,40319,362815,3626194,39832610,476577226,,,12
36,24,12365784,1,-16,155,-1195,8148,,,40319,362815,3626195,39832690,476580972,,,12
37,24,12365847,1,-16,156,-1232,8902,,,40319,362815,3626194,39832606,476576834,,,12
38,24,12365874,1,-16,155,-1194,8088,,,40319,362815,3626195,39832689,476580888,,,12
39,12,12367458,1,-16,155,-1196,8128,,,40319,362815,3626195,39832691,476581136,,,12
40,24,12367485,1,-16,156,-1226,8671,,,40319,362815,3626194,39832600,476576201,,,12
41,24,12367548,1,-16,155,-1198,8231,,,40319,362815,3626195,39832693,476581321,,,12
42,24,12367584,1,-16,156,-1230,8872,,,40319,362815,3626194,39832604,476576576,,,12
43,24,12367845,1,-16,154,-1162,7543,,,40319,362815,3626196,39832778,476585537,,,12
44,24,12367854,1,-16,154,-1162,7544,,,40319,362815,3626196,39832778,476585536,,,12
45,12,12368475,1,-16,157,-1266,9599,,,40319,362815,3626193,39832519,476572321,,,12
46,24,12368547,1,-16,157,-1269,9739,,,40319,362815,3626193,39832522,476572613,,,12
47,24,12368574,1,-16,156,-1234,9029,,,40319,362815,3626194,39832608,476576995,,,12
48,24,12368745,1,-16,155,-1193,8068,,,40319,362815,3626195,39832688,476580764,,,12
49,24,12368754,1,-16,155,-1195,8140,,,40319,362815,3626195,39832690,476580980,,,12
50,12,12375648,1,-16,155,-1201,8351,,,40319,362815,3626195,39832696,476581633,,,12
51,24,12375684,1,-16,156,-1228,8780,-60826,,40319,362815,3626194,39832602,476576380,6161525174,,13
52,12,12375846,1,-16,157,-1267,9650,,,40319,362815,3626193,39832520,476572414,,,12
53,24,12375864,1,-16,156,-1234,9039,,,40319,362815,3626194,39832608,476576985,,,12
54,12,12376548,1,-16,153,-1141,7343,-42951,,40319,362815,3626197,39832878,476591425,6162163864,,13
55,24,12376584,1,-16,155,-1196,8164,,,40319,362815,3626195,39832691,476581100,,,12
56,24,12376845,1,-16,155,-1193,8070,,,40319,362815,3626195,39832688,476580762,,,12
57,24,12376854,1,-16,155,-1197,8224,,,40319,362815,3626195,39832692,476581184,,,12
58,24,12378564,1,-16,154,-1165,7650,-45828,,40319,362815,3626196,39832781,476585862,6161916114,,13
59,12,12378645,1,-16,154,-1160,7445,-40908,,40319,362815,3626196,39832776,476585347,6161884999,,13
60,24,12378654,1,-16,154,-1167,7737,,,40319,362815,3626196,39832783,476586063,,,12
61,12,12385674,1,-16,154,-1161,7495,-42405,,40319,362815,3626196,39832777,476585441,6161890214,,13
62,12,12385764,1,-16,156,-1236,9132,,,40319,362815,3626194,39832610,476577180,,,12
63,12,12386574,1,-16,156,-1233,9006,,,40319,362815,3626194,39832607,476576874,,,12
64,24,12386754,1,-16,154,-1166,7690,,,40319,362815,3626196,39832782,476585966,,,12
65,8,12435768,1,-16,153,-1142,7395,,,40319,362815,3626197,39832879,476591517,,,12
