123456 1 -12 91 -560 3060 -15504 | 719 5003 39429 344837 3291590 33835114
123546 1 -12 91 -561 3098 -16370 | 719 5003 39429 344838 3291652 33837432
123564 1 -12 92 -588 3537 -22208 | 719 5003 39428 344784 3289863 33790151
124356 1 -12 91 -561 3094 -16133 | 719 5003 39429 344838 3291656 33837679
124536 1 -12 93 -620 4124 -29950 | 719 5003 39427 344735 3288426 33757116
124563 1 -12 92 -581 3246 -15036 | 719 5003 39428 344777 3289454 33775840
124635 1 -12 93 -618 4058 -28801 | 719 5003 39427 344733 3288292 33751853
124653 1 -12 93 -616 3980 -27025 | 719 5003 39427 344731 3288170 33747415
125436 1 -12 91 -561 3084 -15673 | 719 5003 39429 344838 3291666 33838429
125463 1 -12 93 -616 3985 -27304 | 719 5003 39427 344731 3288165 33747089
125634 1 -12 92 -582 3278 -15538 | 719 5003 39428 344778 3289522 33778520
125643 1 -12 92 -583 3321 -16625 | 719 5003 39428 344779 3289579 33780454
126453 1 -12 92 -585 3395 -18191 | 719 5003 39428 344781 3289705 33785166
132546 1 -12 91 -562 3135 -17176 | 719 5003 39429 344839 3291715 33839811
132564 1 -12 92 -588 3525 -21572 | 719 5003 39428 344784 3289875 33790967
134526 1 -12 93 -610 3710 -19822 | 719 5003 39427 344725 3287840 33736582
134562 1 -12 92 -585 3437 -20413 | 719 5003 39428 344781 3289663 33782306
134625 1 -12 95 -676 5044 -41512 | 719 5003 39425 344629 3285006 33669458
134652 1 -12 93 -611 3799 -23367 | 719 5003 39427 344726 3287851 33735408
135246 1 -12 94 -652 4747 -39677 | 719 5003 39426 344686 3286953 33721710
135264 1 -12 95 -678 5135 -43987 | 719 5003 39425 344631 3285115 33673022
135426 1 -12 94 -648 4581 -35608 | 719 5003 39426 344682 3286719 33713527
135462 1 -12 93 -613 3879 -25250 | 719 5003 39427 344728 3287971 33739711
135624 1 -12 94 -641 4307 -29275 | 719 5003 39426 344675 3286293 33697998
135642 1 -12 94 -644 4456 -33675 | 719 5003 39426 344678 3286444 33702519
136245 1 -12 95 -680 5222 -46208 | 719 5003 39425 344633 3285228 33676816
136254 1 -12 94 -647 4540 -34542 | 719 5003 39426 344681 3286660 33711372
136425 1 -12 96 -708 5679 -51876 | 719 5003 39424 344580 3283521 33633237
136452 1 -12 94 -644 4455 -33628 | 719 5003 39426 344678 3286445 33702593
136524 1 -12 95 -676 5059 -42304 | 719 5003 39425 344629 3284991 33668435
136542 1 -12 93 -613 3855 -23917 | 719 5003 39427 344728 3287995 33741282
143562 1 -12 93 -611 3787 -22704 | 719 5003 39427 344726 3287863 33736197
143625 1 -12 94 -644 4407 -31066 | 719 5003 39426 344678 3286493 33705839
143652 1 -12 93 -610 3731 -20893 | 719 5003 39427 344725 3287819 33735112
145236 1 -12 93 -612 3776 -20966 | 719 5003 39427 344727 3287974 33741840
145263 1 -12 94 -638 4172 -25642 | 719 5003 39426 344672 3286128 33692550
145326 1 -12 93 -614 3872 -23695 | 719 5003 39427 344729 3288078 33745053
145362 1 -12 94 -642 4363 -31115 | 719 5003 39426 344676 3286337 33699112
145623 1 -12 92 -582 3300 -16731 | 719 5003 39428 344778 3289500 33777051
145632 1 -12 92 -582 3301 -16799 | 719 5003 39428 344778 3289499 33776998
146253 1 -12 95 -674 4963 -39572 | 719 5003 39425 344627 3284887 33665219
146325 1 -12 95 -677 5090 -42752 | 719 5003 39425 344630 3285060 33671182
146352 1 -12 94 -646 4514 -34379 | 719 5003 39426 344680 3286586 33708305
146523 1 -12 93 -609 3699 -20400 | 719 5003 39427 344724 3287751 33732441
146532 1 -12 93 -611 3773 -21925 | 719 5003 39427 344726 3287877 33737112
153426 1 -12 93 -617 3991 -26495 | 719 5003 39427 344732 3288259 33751604
153462 1 -12 94 -640 4269 -28488 | 719 5003 39426 344674 3286231 33695759
153624 1 -12 95 -675 5009 -40841 | 719 5003 39425 344628 3284941 33666972
153642 1 -12 94 -646 4524 -34905 | 719 5003 39426 344680 3286576 33707621
154326 1 -12 91 -561 3088 -15956 | 719 5003 39429 344838 3291662 33838228
154362 1 -12 93 -612 3811 -22822 | 719 5003 39427 344727 3287939 33739461
154623 1 -12 93 -609 3701 -20515 | 719 5003 39427 344724 3287749 33732314
154632 1 -12 93 -613 3857 -24039 | 719 5003 39427 344728 3287993 33741162
156342 1 -12 92 -585 3412 -19118 | 719 5003 39428 344781 3289688 33784036
156423 1 -12 92 -580 3202 -13852 | 719 5003 39428 344776 3289398 33773930
156432 1 -12 92 -587 3500 -21420 | 719 5003 39428 344783 3289800 33787790
163452 1 -12 92 -581 3248 -15205 | 719 5003 39428 344777 3289452 33775767
163542 1 -12 94 -648 4614 -37313 | 719 5003 39426 344682 3286686 33711239
164352 1 -12 94 -645 4479 -33719 | 719 5003 39426 344679 3286521 33705830
164532 1 -12 92 -586 3447 -19759 | 719 5003 39428 344782 3289753 33786492
231564 1 -12 92 -576 3037 -9900 | 719 5003 39428 344772 3289163 33765743
234615 1 -12 94 -641 4327 -30470 | 719 5003 39426 344675 3286273 33696773
235164 1 -12 95 -669 4782 -35917 | 719 5003 39425 344622 3284568 33653215
235614 1 -12 94 -634 4026 -22779 | 719 5003 39426 344668 3285874 33683153
236145 1 -12 94 -627 3695 -13348 | 719 5003 39426 344661 3285505 33671423
236154 1 -12 94 -637 4146 -25580 | 719 5003 39426 344671 3286054 33689584
236415 1 -12 95 -667 4693 -33609 | 719 5003 39425 344620 3284457 33649576
236514 1 -12 94 -628 3741 -14609 | 719 5003 39426 344662 3285559 33673168
241635 1 -12 95 -669 4775 -35518 | 719 5003 39425 344622 3284575 33653663
241653 1 -12 95 -671 4844 -36756 | 719 5003 39425 344624 3284706 33658652
243615 1 -12 94 -638 4187 -26534 | 719 5003 39426 344672 3286113 33691627
245163 1 -12 94 -632 3954 -21213 | 719 5003 39426 344666 3285746 33678199
245613 1 -12 93 -612 3846 -24800 | 719 5003 39427 344727 3287904 33737204
246135 1 -12 95 -669 4779 -35796 | 719 5003 39425 344622 3284571 33653457
246153 1 -12 96 -699 5314 -43129 | 719 5003 39424 344571 3282986 33614205
246315 1 -12 96 -700 5357 -44264 | 719 5003 39424 344572 3283043 33616187
246513 1 -12 94 -638 4214 -28068 | 719 5003 39426 344672 3286086 33689894
251364 1 -12 96 -707 5617 -49725 | 719 5003 39424 344579 3283483 33632538
251463 1 -12 96 -703 5473 -46915 | 719 5003 39424 344575 3283227 33622952
251634 1 -12 95 -669 4783 -35997 | 719 5003 39425 344622 3284567 33653174
251643 1 -12 95 -666 4632 -31483 | 719 5003 39425 344619 3284418 33648781
253614 1 -12 96 -702 5432 -45879 | 719 5003 39424 344574 3283168 33620827
254163 1 -12 95 -658 4295 -22999 | 719 5003 39425 344611 3283955 33632674
254613 1 -12 94 -635 4074 -24165 | 719 5003 39426 344669 3285926 33684781
256134 1 -12 94 -635 4064 -23572 | 719 5003 39426 344669 3285936 33685398
256143 1 -12 94 -633 3987 -21883 | 719 5003 39426 344667 3285813 33680926
256314 1 -12 95 -663 4502 -28083 | 719 5003 39425 344616 3284248 33642961
