234561 rho 24567183 posshift -1-1-1-1 valshift -1-1-1-1 privroles O: [1, 6] O': [5, 6] privvalroles O: [2, 1] O': [6, 1]
241635 rho 24163857 posshift -1-2-2-1 valshift -2-2-2-2 privroles O: [1, 3] O': [4, 6] privvalroles O: [2, 1] O': [6, 5]
245163 rho 24617385 posshift -1-1-2-2 valshift -2-1-1-2 privroles O: [1, 4] O': [5, 6] privvalroles O: [2, 1] O': [6, 3]
245613 rho 24671835 posshift -1-1-1-1 valshift -2-1-1-2 privroles O: [1, 5] O': [4, 6] privvalroles O: [2, 1] O': [6, 3]
246135 rho 24618357 posshift -1-1-1-1 valshift -2-2-2-2 privroles O: [1, 4] O': [3, 6] privvalroles O: [2, 1] O': [6, 5]
315264 rho 31527486 posshift -2-2-2-2 valshift -2-1-1-2 privroles O: [1, 2] O': [5, 6] privvalroles O: [3, 1] O': [6, 4]
345162 rho 35617284 posshift -1-1-2-2 valshift -1-1-1-1 privroles O: [1, 4] O': [5, 6] privvalroles O: [3, 1] O': [6, 2]
345612 rho 35671824 posshift -1-1-1-1 valshift -1-1-1-1 privroles O: [1, 5] O': [4, 6] privvalroles O: [3, 1] O': [6, 2]
351624 rho 35172846 posshift -1-2-2-1 valshift -2-1-1-2 privroles O: [1, 3] O': [4, 6] privvalroles O: [3, 1] O': [6, 4]
356124 rho 35718246 posshift -1-1-1-1 valshift -2-1-1-2 privroles O: [1, 4] O': [3, 6] privvalroles O: [3, 1] O': [6, 4]
415263 rho 41627385 posshift -2-2-2-2 valshift -1-1-1-1 privroles O: [1, 2] O': [5, 6] privvalroles O: [4, 1] O': [6, 3]
416235 rho 41628357 posshift -2-2-1-1 valshift -2-1-1-2 privroles O: [1, 2] O': [3, 6] privvalroles O: [4, 1] O': [6, 5]
451623 rho 46172835 posshift -1-2-2-1 valshift -1-1-1-1 privroles O: [1, 3] O': [4, 6] privvalroles O: [4, 1] O': [6, 3]
456123 rho 46718235 posshift -1-1-1-1 valshift -1-1-1-1 privroles O: [1, 4] O': [3, 6] privvalroles O: [4, 1] O': [6, 3]
461235 rho 46182357 posshift -1-1-1-1 valshift -2-1-1-2 privroles O: [1, 3] O': [2, 6] privvalroles O: [4, 1] O': [6, 5]
516234 rho 51728346 posshift -2-2-1-1 valshift -1-1-1-1 privroles O: [1, 2] O': [3, 6] privvalroles O: [5, 1] O': [6, 4]
561234 rho 57182346 posshift -1-1-1-1 valshift -1-1-1-1 privroles O: [1, 3] O': [2, 6] privvalroles O: [5, 1] O': [6, 4]
612345 rho 61823457 posshift -1-1-1-1 valshift -1-1-1-1 privroles O: [1, 2] O': [1, 6] privvalroles O: [6, 1] O': [6, 5]
