2345671 rho 245678193 posshift -1-1-1-1-1 valshift -1-1-1-1-1 privroles O: [1, 7] O': [6, 7] privvalroles O: [2, 1] O': [7, 1]
2416375 rho 241638597 posshift -1-2-2-2-2 valshift -2-2-2-1-2 privroles O: [1, 3] O': [6, 7] privvalroles O: [2, 1] O': [7, 5]
2456173 rho 246718395 posshift -1-1-1-2-2 valshift -2-1-1-1-2 privroles O: [1, 5] O': [6, 7] privvalroles O: [2, 1] O': [7, 3]
2456713 rho 246781935 posshift -1-1-1-1-1 valshift -2-1-1-1-2 privroles O: [1, 6] O': [5, 7] privvalroles O: [2, 1] O': [7, 3]
2461735 rho 246183957 posshift -1-1-2-2-1 valshift -2-2-1-2-2 privroles O: [1, 4] O': [5, 7] privvalroles O: [2, 1] O': [7, 5]
2467135 rho 246819357 posshift -1-1-1-1-1 valshift -2-2-1-2-2 privroles O: [1, 5] O': [4, 7] privvalroles O: [2, 1] O': [7, 5]
3152746 rho 315274968 posshift -2-2-2-2-1 valshift -2-1-2-2-2 privroles O: [1, 2] O': [5, 7] privvalroles O: [3, 1] O': [7, 6]
3456172 rho 356718294 posshift -1-1-1-2-2 valshift -1-1-1-1-1 privroles O: [1, 5] O': [6, 7] privvalroles O: [3, 1] O': [7, 2]
3456712 rho 356781924 posshift -1-1-1-1-1 valshift -1-1-1-1-1 privroles O: [1, 6] O': [5, 7] privvalroles O: [3, 1] O': [7, 2]
3516274 rho 351728496 posshift -1-2-2-2-2 valshift -2-1-1-1-2 privroles O: [1, 3] O': [6, 7] privvalroles O: [3, 1] O': [7, 4]
3517246 rho 351729468 posshift -1-2-2-1-1 valshift -2-2-1-2-2 privroles O: [1, 3] O': [4, 7] privvalroles O: [3, 1] O': [7, 6]
3561724 rho 357182946 posshift -1-1-2-2-1 valshift -2-1-1-1-2 privroles O: [1, 4] O': [5, 7] privvalroles O: [3, 1] O': [7, 4]
3567124 rho 357819246 posshift -1-1-1-1-1 valshift -2-1-1-1-2 privroles O: [1, 5] O': [4, 7] privvalroles O: [3, 1] O': [7, 4]
3571246 rho 357192468 posshift -1-1-1-1-1 valshift -2-2-1-2-2 privroles O: [1, 4] O': [3, 7] privvalroles O: [3, 1] O': [7, 6]
4162735 rho 416283957 posshift -2-2-2-2-1 valshift -2-1-1-1-2 privroles O: [1, 2] O': [5, 7] privvalroles O: [4, 1] O': [7, 5]
4516273 rho 461728395 posshift -1-2-2-2-2 valshift -1-1-1-1-1 privroles O: [1, 3] O': [6, 7] privvalroles O: [4, 1] O': [7, 3]
4561723 rho 467182935 posshift -1-1-2-2-1 valshift -1-1-1-1-1 privroles O: [1, 4] O': [5, 7] privvalroles O: [4, 1] O': [7, 3]
4567123 rho 467819235 posshift -1-1-1-1-1 valshift -1-1-1-1-1 privroles O: [1, 5] O': [4, 7] privvalroles O: [4, 1] O': [7, 3]
4617235 rho 461829357 posshift -1-2-2-1-1 valshift -2-1-1-1-2 privroles O: [1, 3] O': [4, 7] privvalroles O: [4, 1] O': [7, 5]
4671235 rho 468192357 posshift -1-1-1-1-1 valshift -2-1-1-1-2 privroles O: [1, 4] O': [3, 7] privvalroles O: [4, 1] O': [7, 5]
5162734 rho 517283946 posshift -2-2-2-2-1 valshift -1-1-1-1-1 privroles O: [1, 2] O': [5, 7] privvalroles O: [5, 1] O': [7, 4]
5172346 rho 517293468 posshift -2-2-1-1-1 valshift -2-1-1-1-2 privroles O: [1, 2] O': [3, 7] privvalroles O: [5, 1] O': [7, 6]
5617234 rho 571829346 posshift -1-2-2-1-1 valshift -1-1-1-1-1 privroles O: [1, 3] O': [4, 7] privvalroles O: [5, 1] O': [7, 4]
5671234 rho 578192346 posshift -1-1-1-1-1 valshift -1-1-1-1-1 privroles O: [1, 4] O': [3, 7] privvalroles O: [5, 1] O': [7, 4]
5712346 rho 571923468 posshift -1-1-1-1-1 valshift -2-1-1-1-2 privroles O: [1, 3] O': [2, 7] privvalroles O: [5, 1] O': [7, 6]
6172345 rho 618293457 posshift -2-2-1-1-1 valshift -1-1-1-1-1 privroles O: [1, 2] O': [3, 7] privvalroles O: [6, 1] O': [7, 5]
6712345 rho 681923457 posshift -1-1-1-1-1 valshift -1-1-1-1-1 privroles O: [1, 3] O': [2, 7] privvalroles O: [6, 1] O': [7, 5]
7123456 rho 719234568 posshift -1-1-1-1-1 valshift -1-1-1-1-1 privroles O: [1, 2] O': [1, 7] privvalroles O: [7, 1] O': [7, 6]
