12346578 1 -16 153 -1141 7353 -43308 | 40319 362815 3626197 39832878 476591415 6162162531
12354678 1 -16 153 -1141 7353 -43333 | 40319 362815 3626197 39832878 476591415 6162162556
12347658 1 -16 153 -1141 7343 -42808 | 40319 362815 3626197 39832878 476591425 6162163721
12376548 1 -16 153 -1141 7343 -42951 | 40319 362815 3626197 39832878 476591425 6162163864
12765438 1 -16 153 -1141 7343 -42926 | 40319 362815 3626197 39832878 476591425 6162163839
12354786 1 -16 154 -1172 7906 -50724 | 40319 362815 3626196 39832788 476586614 6161962922
12543786 1 -16 154 -1172 7906 -50952 | 40319 362815 3626196 39832788 476586614 6161963150
15432786 1 -16 154 -1172 7906 -50904 | 40319 362815 3626196 39832788 476586614 6161963102
12365478 1 -16 153 -1141 7339 -42668 | 40319 362815 3626197 39832878 476591429 6162164257
12654378 1 -16 153 -1141 7339 -42786 | 40319 362815 3626197 39832878 476591429 6162164375
12375684 1 -16 156 -1228 8780 -60826 | 40319 362815 3626194 39832602 476576380 6161525174
13275684 1 -16 156 -1228 8780 -60941 | 40319 362815 3626194 39832602 476576380 6161525289
17854623 1 -16 156 -1228 8780 -60453 | 40319 362815 3626194 39832602 476576380 6161524801
12378564 1 -16 154 -1165 7650 -45828 | 40319 362815 3626196 39832781 476585862 6161916114
17845623 1 -16 154 -1165 7650 -45584 | 40319 362815 3626196 39832781 476585862 6161915870
12378645 1 -16 154 -1160 7445 -40908 | 40319 362815 3626196 39832776 476585347 6161884999
13278645 1 -16 154 -1160 7445 -41010 | 40319 362815 3626196 39832776 476585347 6161885101
12385674 1 -16 154 -1161 7495 -42405 | 40319 362815 3626196 39832777 476585441 6161890214
13285674 1 -16 154 -1161 7495 -42489 | 40319 362815 3626196 39832777 476585441 6161890298
12435786 1 -16 154 -1173 7960 -52433 | 40319 362815 3626196 39832789 476586704 6161967673
13245786 1 -16 154 -1173 7960 -52368 | 40319 362815 3626196 39832789 476586704 6161967608
12436758 1 -16 155 -1208 8660 -62891 | 40319 362815 3626195 39832703 476582332 6161794935
13427658 1 -16 155 -1208 8660 -63071 | 40319 362815 3626195 39832703 476582332 6161795115
12436785 1 -16 154 -1165 7619 -43996 | 40319 362815 3626196 39832781 476585893 6161919521
14326785 1 -16 154 -1165 7619 -44060 | 40319 362815 3626196 39832781 476585893 6161919585
12436857 1 -16 155 -1206 8588 -61453 | 40319 362815 3626195 39832701 476582116 6161781329
14326857 1 -16 155 -1206 8588 -61588 | 40319 362815 3626195 39832701 476582116 6161781464
12436875 1 -16 155 -1204 8504 -59438 | 40319 362815 3626195 39832699 476581912 6161769174
14326875 1 -16 155 -1204 8504 -59564 | 40319 362815 3626195 39832699 476581912 6161769300
12437658 1 -16 153 -1142 7380 -43566 | 40319 362815 3626197 39832879 476591532 6162170394
12543768 1 -16 153 -1142 7380 -43654 | 40319 362815 3626197 39832879 476591532 6162170482
12437685 1 -16 155 -1204 8509 -59675 | 40319 362815 3626195 39832699 476581907 6161768566
14327685 1 -16 155 -1204 8509 -59776 | 40319 362815 3626195 39832699 476581907 6161768667
12437856 1 -16 154 -1166 7654 -44654 | 40319 362815 3626196 39832782 476586002 6161926432
14327856 1 -16 154 -1166 7654 -44746 | 40319 362815 3626196 39832782 476586002 6161926524
12437865 1 -16 154 -1167 7700 -45858 | 40319 362815 3626196 39832783 476586100 6161932030
14327865 1 -16 154 -1167 7700 -45949 | 40319 362815 3626196 39832783 476586100 6161932121
12438675 1 -16 154 -1169 7781 -47776 | 40319 362815 3626196 39832785 476586307 6161944595
14328675 1 -16 154 -1169 7781 -47902 | 40319 362815 3626196 39832785 476586307 6161944721
12456783 1 -16 154 -1165 7651 -45431 | 40319 362815 3626196 39832781 476585861 6161915548
16784523 1 -16 154 -1165 7651 -45632 | 40319 362815 3626196 39832781 476585861 6161915749
12457386 1 -16 158 -1289 9800 -72881 | 40319 362815 3626192 39832421 476566720 6161125545
12584736 1 -16 158 -1289 9800 -72816 | 40319 362815 3626192 39832421 476566720 6161125480
12457638 1 -16 156 -1223 8563 -55699 | 40319 362815 3626194 39832597 476575877 6161495880
12546738 1 -16 156 -1223 8563 -55718 | 40319 362815 3626194 39832597 476575877 6161495899
12457683 1 -16 155 -1194 8125 -51271 | 40319 362815 3626195 39832689 476580851 6161703378
12465783 1 -16 155 -1194 8125 -51323 | 40319 362815 3626195 39832689 476580851 6161703430
12458673 1 -16 156 -1225 8658 -57685 | 40319 362815 3626194 39832599 476576070 6161506147
12465738 1 -16 156 -1225 8658 -58328 | 40319 362815 3626194 39832599 476576070 6161506790
12465873 1 -16 155 -1193 8087 -50603 | 40319 362815 3626195 39832688 476580745 6161696964
17654832 1 -16 155 -1193 8087 -50729 | 40319 362815 3626195 39832688 476580745 6161697090
12467853 1 -16 156 -1225 8661 -57946 | 40319 362815 3626194 39832599 476576067 6161505901
12486753 1 -16 156 -1225 8661 -58285 | 40319 362815 3626194 39832599 476576067 6161506240
17835462 1 -16 156 -1225 8661 -57820 | 40319 362815 3626194 39832599 476576067 6161505775
12475683 1 -16 157 -1261 9446 -71757 | 40319 362815 3626193 39832514 476571754 6161334319
13876524 1 -16 157 -1261 9446 -71859 | 40319 362815 3626193 39832514 476571754 6161334421
12478356 1 -16 157 -1251 8949 -57804 | 40319 362815 3626193 39832504 476570811 6161282679
17365428 1 -16 157 -1251 8949 -57898 | 40319 362815 3626193 39832504 476570811 6161282773
12485763 1 -16 157 -1258 9301 -67847 | 40319 362815 3626193 39832511 476571467 6161318410
12574683 1 -16 157 -1258 9301 -67996 | 40319 362815 3626193 39832511 476571467 6161318559
12567834 1 -16 154 -1162 7549 -43744 | 40319 362815 3626196 39832778 476585531 6161894595
12567843 1 -16 154 -1162 7549 -43712 | 40319 362815 3626196 39832778 476585531 6161894563
12573684 1 -16 159 -1322 10429 -82059 | 40319 362815 3626191 39832333 476562131 6160939190
13725486 1 -16 159 -1322 10429 -82187 | 40319 362815 3626191 39832333 476562131 6160939318
12574638 1 -16 157 -1262 9408 -69126 | 40319 362815 3626193 39832515 476571936 6161350278
12647538 1 -16 157 -1262 9408 -69064 | 40319 362815 3626193 39832515 476571936 6161350216
12576348 1 -16 156 -1218 8331 -49635 | 40319 362815 3626194 39832592 476575389 6161468184
12657348 1 -16 156 -1218 8331 -49573 | 40319 362815 3626194 39832592 476575389 6161468122
12576483 1 -16 157 -1256 9234 -66951 | 40319 362815 3626193 39832509 476571246 6161304501
15387642 1 -16 157 -1256 9234 -66984 | 40319 362815 3626193 39832509 476571246 6161304534
12576834 1 -16 155 -1190 7968 -47859 | 40319 362815 3626195 39832685 476580432 6161677827
15476823 1 -16 155 -1190 7968 -47875 | 40319 362815 3626195 39832685 476580432 6161677843
15476832 1 -16 155 -1190 7968 -47955 | 40319 362815 3626195 39832685 476580432 6161677923
12586374 1 -16 159 -1323 10512 -85123 | 40319 362815 3626191 39832334 476562192 6160940395
16748352 1 -16 159 -1323 10512 -84808 | 40319 362815 3626191 39832334 476562192 6160940080
12586734 1 -16 156 -1225 8684 -59323 | 40319 362815 3626194 39832599 476576044 6161503391
12586743 1 -16 156 -1225 8684 -59348 | 40319 362815 3626194 39832599 476576044 6161503416
12678453 1 -16 154 -1161 7507 -42973 | 40319 362815 3626196 39832777 476585429 6161888754
12784563 1 -16 154 -1161 7507 -42922 | 40319 362815 3626196 39832777 476585429 6161888703
12684537 1 -16 157 -1250 8938 -58635 | 40319 362815 3626193 39832503 476570678 6161273201
13674528 1 -16 157 -1250 8938 -58678 | 40319 362815 3626193 39832503 476570678 6161273244
12684573 1 -16 157 -1256 9216 -65769 | 40319 362815 3626193 39832509 476571264 6161306361
18356742 1 -16 157 -1256 9216 -65653 | 40319 362815 3626193 39832509 476571264 6161306245
12685473 1 -16 158 -1292 9962 -77577 | 40319 362815 3626192 39832424 476566990 6161139367
12748653 1 -16 158 -1292 9962 -77517 | 40319 362815 3626192 39832424 476566990 6161139307
12685734 1 -16 156 -1226 8720 -60146 | 40319 362815 3626194 39832600 476576152 6161510298
12758634 1 -16 156 -1226 8720 -60153 | 40319 362815 3626194 39832600 476576152 6161510305
12687453 1 -16 155 -1192 8059 -50580 | 40319 362815 3626195 39832687 476580629 6161689505
12768453 1 -16 155 -1192 8059 -50537 | 40319 362815 3626195 39832687 476580629 6161689462
12687543 1 -16 155 -1195 8170 -52811 | 40319 362815 3626195 39832690 476580950 6161709481
13465872 1 -16 155 -1195 8170 -52454 | 40319 362815 3626195 39832690 476580950 6161709124
12748563 1 -16 157 -1256 9199 -64822 | 40319 362815 3626193 39832509 476571281 6161308287
16845732 1 -16 157 -1256 9199 -64681 | 40319 362815 3626193 39832509 476571281 6161308146
12756843 1 -16 156 -1224 8654 -59079 | 40319 362815 3626194 39832598 476575930 6161496049
