class_id,pattern,lex_rank,representative,representative_rank,class_size
1,12345678,0,12345678,0,56
1,12345687,1,12345678,0,56
2,12345768,2,12345768,2,20
3,12345786,3,12345786,3,40
3,12345867,4,12345786,3,40
1,12345876,5,12345678,0,56
4,12346578,6,12346578,6,32
4,12346587,7,12346578,6,32
5,12346758,8,12346758,8,32
6,12346785,9,12346785,9,32
7,12346857,10,12346857,10,32
8,12346875,11,12346875,11,32
5,12347568,12,12346758,8,32
7,12347586,13,12346857,10,32
9,12347658,14,12347658,14,16
10,12347685,15,12347685,15,32
11,12347856,16,12347856,16,16
12,12347865,17,12347865,17,32
6,12348567,18,12346785,9,32
8,12348576,19,12346875,11,32
10,12348657,20,12347685,15,32
13,12348675,21,12348675,21,16
12,12348756,22,12347865,17,32
1,12348765,23,12345678,0,56
14,12354678,24,12354678,24,18
14,12354687,25,12354678,24,18
15,12354768,26,12354768,26,12
16,12354786,27,12354786,27,24
16,12354867,28,12354786,27,24
14,12354876,29,12354678,24,18
17,12356478,30,12356478,30,48
17,12356487,31,12356478,30,48
18,12356748,32,12356748,32,24
19,12356784,33,12356784,33,24
20,12356847,34,12356847,34,24
21,12356874,35,12356874,35,24
22,12357468,36,12357468,36,24
23,12357486,37,12357486,37,24
24,12357648,38,12357648,38,24
25,12357684,39,12357684,39,24
26,12357846,40,12357846,40,24
27,12357864,41,12357864,41,24
28,12358467,42,12358467,42,24
29,12358476,43,12358476,43,24
30,12358647,44,12358647,44,24
31,12358674,45,12358674,45,24
32,12358746,46,12358746,46,24
33,12358764,47,12358764,47,24
17,12364578,48,12356478,30,48
17,12364587,49,12356478,30,48
22,12364758,50,12357468,36,24
28,12364785,51,12358467,42,24
23,12364857,52,12357486,37,24
29,12364875,53,12358476,43,24
34,12365478,54,12365478,54,24
34,12365487,55,12365478,54,24
35,12365748,56,12365748,56,24
36,12365784,57,12365784,57,24
37,12365847,58,12365847,58,24
38,12365874,59,12365874,59,24
39,12367458,60,12367458,60,12
40,12367485,61,12367485,61,24
41,12367548,62,12367548,62,24
42,12367584,63,12367584,63,24
43,12367845,64,12367845,64,24
44,12367854,65,12367854,65,24
40,12368457,66,12367485,61,24
45,12368475,67,12368475,67,12
46,12368547,68,12368547,68,24
47,12368574,69,12368574,69,24
48,12368745,70,12368745,70,24
49,12368754,71,12368754,71,24
18,12374568,72,12356748,32,24
20,12374586,73,12356847,34,24
24,12374658,74,12357648,38,24
30,12374685,75,12358647,44,24
26,12374856,76,12357846,40,24
32,12374865,77,12358746,46,24
35,12375468,78,12365748,56,24
37,12375486,79,12365847,58,24
50,12375648,80,12375648,80,12
51,12375684,81,12375684,81,24
52,12375846,82,12375846,82,12
53,12375864,83,12375864,83,24
41,12376458,84,12367548,62,24
46,12376485,85,12368547,68,24
54,12376548,86,12376548,86,12
55,12376584,87,12376584,87,24
56,12376845,88,12376845,88,24
57,12376854,89,12376854,89,24
43,12378456,90,12367845,64,24
48,12378465,91,12368745,70,24
56,12378546,92,12376845,88,24
58,12378564,93,12378564,93,24
59,12378645,94,12378645,94,12
60,12378654,95,12378654,95,24
19,12384567,96,12356784,33,24
21,12384576,97,12356874,35,24
25,12384657,98,12357684,39,24
31,12384675,99,12358674,45,24
27,12384756,100,12357864,41,24
33,12384765,101,12358764,47,24
36,12385467,102,12365784,57,24
38,12385476,103,12365874,59,24
51,12385647,104,12375684,81,24
61,12385674,105,12385674,105,12
53,12385746,106,12375864,83,24
62,12385764,107,12385764,107,12
42,12386457,108,12367584,63,24
47,12386475,109,12368574,69,24
55,12386547,110,12376584,87,24
63,12386574,111,12386574,111,12
58,12386745,112,12378564,93,24
64,12386754,113,12386754,113,24
44,12387456,114,12367854,65,24
49,12387465,115,12368754,71,24
57,12387546,116,12376854,89,24
64,12387564,117,12386754,113,24
60,12387645,118,12378654,95,24
1,12387654,119,12345678,0,56
4,12435678,120,12346578,6,32
4,12435687,121,12346578,6,32
65,12435768,122,12435768,122,8
66,12435786,123,12435786,123,16
66,12435867,124,12435786,123,16
4,12435876,125,12346578,6,32
67,12436578,126,12436578,126,8
67,12436587,127,12436578,126,8
68,12436758,128,12436758,128,16
69,12436785,129,12436785,129,16
70,12436857,130,12436857,130,16
71,12436875,131,12436875,131,16
68,12437568,132,12436758,128,16
70,12437586,133,12436857,130,16
72,12437658,134,12437658,134,8
73,12437685,135,12437685,135,16
74,12437856,136,12437856,136,8
75,12437865,137,12437865,137,16
69,12438567,138,12436785,129,16
71,12438576,139,12436875,131,16
73,12438657,140,12437685,135,16
76,12438675,141,12438675,141,8
75,12438756,142,12437865,137,16
4,12438765,143,12346578,6,32
17,12453678,144,12356478,30,48
17,12453687,145,12356478,30,48
77,12453768,146,12453768,146,16
78,12453786,147,12453786,147,32
78,12453867,148,12453786,147,32
17,12453876,149,12356478,30,48
79,12456378,150,12456378,150,16
79,12456387,151,12456378,150,16
80,12456738,152,12456738,152,16
81,12456783,153,12456783,153,16
82,12456837,154,12456837,154,16
83,12456873,155,12456873,155,16
84,12457368,156,12457368,156,16
85,12457386,157,12457386,157,16
86,12457638,158,12457638,158,16
87,12457683,159,12457683,159,16
88,12457836,160,12457836,160,16
