class_id,representative,lex_rank,class_size,avoid_9,avoid_10,avoid_11,avoid_12,avoid_13,avoid_14
1,12345678,0,56,362815,3626197,39832877,476591309,,
2,12345768,2,20,362815,3626197,39832878,476591411,,
3,12345786,3,40,362815,3626196,39832788,476586602,,
4,12346578,6,32,362815,3626197,39832878,476591415,6162162531,
5,12346758,8,32,362815,3626195,39832703,476582320,,
6,12346785,9,32,362815,3626196,39832781,476585888,,
7,12346857,10,32,362815,3626195,39832701,476582106,,
8,12346875,11,32,362815,3626195,39832699,476581904,,
9,12347658,14,16,362815,3626197,39832878,476591425,6162163721,
10,12347685,15,32,362815,3626195,39832699,476581899,,
11,12347856,16,16,362815,3626196,39832782,476585996,,
12,12347865,17,32,362815,3626196,39832783,476586093,,
13,12348675,21,16,362815,3626196,39832785,476586299,,
14,12354678,24,18,362815,3626197,39832878,476591415,6162162556,
15,12354768,26,12,362815,3626197,39832879,476591518,,
16,12354786,27,24,362815,3626196,39832788,476586614,6161962922,
17,12356478,30,48,362815,3626195,39832699,476581940,,
18,12356748,32,24,362815,3626195,39832689,476580913,,
19,12356784,33,24,362815,3626196,39832781,476585836,,
20,12356847,34,24,362815,3626193,39832521,476572515,,
21,12356874,35,24,362815,3626195,39832690,476580960,,
22,12357468,36,24,362815,3626194,39832614,476577632,,
23,12357486,37,24,362815,3626193,39832523,476572724,,
24,12357648,38,24,362815,3626194,39832610,476577233,,
25,12357684,39,24,362815,3626195,39832692,476581160,,
26,12357846,40,24,362815,3626194,39832603,476576502,,
27,12357864,41,24,362815,3626194,39832606,476576773,,
28,12358467,42,24,362815,3626193,39832525,476572917,,
29,12358476,43,24,362815,3626194,39832609,476577139,,
30,12358647,44,24,362815,3626192,39832436,476568210,,
31,12358674,45,24,362815,3626194,39832606,476576774,,
32,12358746,46,24,362815,3626193,39832521,476572500,,
33,12358764,47,24,362815,3626195,39832692,476581209,,
34,12365478,54,24,362815,3626197,39832878,476591429,6162164257,
35,12365748,56,24,362815,3626194,39832610,476577226,,
36,12365784,57,24,362815,3626195,39832690,476580972,,
37,12365847,58,24,362815,3626194,39832606,476576834,,
38,12365874,59,24,362815,3626195,39832689,476580888,,
39,12367458,60,12,362815,3626195,39832691,476581136,,
40,12367485,61,24,362815,3626194,39832600,476576201,,
41,12367548,62,24,362815,3626195,39832693,476581321,,
42,12367584,63,24,362815,3626194,39832604,476576576,,
43,12367845,64,24,362815,3626196,39832778,476585537,,
44,12367854,65,24,362815,3626196,39832778,476585536,,
45,12368475,67,12,362815,3626193,39832519,476572321,,
46,12368547,68,24,362815,3626193,39832522,476572613,,
47,12368574,69,24,362815,3626194,39832608,476576995,,
48,12368745,70,24,362815,3626195,39832688,476580764,,
49,12368754,71,24,362815,3626195,39832690,476580980,,
50,12375648,80,12,362815,3626195,39832696,476581633,,
51,12375684,81,24,362815,3626194,39832602,476576380,6161525174,
52,12375846,82,12,362815,3626193,39832520,476572414,,
53,12375864,83,24,362815,3626194,39832608,476576985,,
54,12376548,86,12,362815,3626197,39832878,476591425,6162163864,
55,12376584,87,24,362815,3626195,39832691,476581100,,
56,12376845,88,24,362815,3626195,39832688,476580762,,
57,12376854,89,24,362815,3626195,39832692,476581184,,
58,12378564,93,24,362815,3626196,39832781,476585862,6161916114,
59,12378645,94,12,362815,3626196,39832776,476585347,6161884999,
60,12378654,95,24,362815,3626196,39832783,476586063,,
61,12385674,105,12,362815,3626196,39832777,476585441,6161890214,
62,12385764,107,12,362815,3626194,39832610,476577180,,
63,12386574,111,12,362815,3626194,39832607,476576874,,
64,12386754,113,24,362815,3626196,39832782,476585966,,
65,12435768,122,8,362815,3626197,39832879,476591517,,
66,12435786,123,16,362815,3626196,39832789,476586704,6161967673,
67,12436578,126,8,362815,3626197,39832879,476591522,,
68,12436758,128,16,362815,3626195,39832703,476582332,6161794935,
69,12436785,129,16,362815,3626196,39832781,476585893,6161919521,
70,12436857,130,16,362815,3626195,39832701,476582116,6161781329,
71,12436875,131,16,362815,3626195,39832699,476581912,6161769174,
72,12437658,134,8,362815,3626197,39832879,476591532,6162170394,
73,12437685,135,16,362815,3626195,39832699,476581907,6161768566,
74,12437856,136,8,362815,3626196,39832782,476586002,6161926432,
75,12437865,137,16,362815,3626196,39832783,476586100,6161932030,
76,12438675,141,8,362815,3626196,39832785,476586307,6161944595,
77,12453768,146,16,362815,3626195,39832699,476581952,,
78,12453786,147,32,362815,3626195,39832687,476580739,,
79,12456378,150,16,362815,3626195,39832685,476580517,,
80,12456738,152,16,362815,3626195,39832689,476580834,,
81,12456783,153,16,362815,3626196,39832781,476585861,6161915548,
82,12456837,154,16,362815,3626193,39832510,476571373,,
83,12456873,155,16,362815,3626195,39832690,476580940,,
84,12457368,156,16,362815,3626192,39832432,476567849,,
85,12457386,157,16,362815,3626192,39832421,476566720,6161125545,
86,12457638,158,16,362815,3626194,39832597,476575877,6161495880,
87,12457683,159,16,362815,3626195,39832689,476580851,6161703378,
88,12457836,160,16,362815,3626193,39832503,476570694,,
89,12457863,161,16,362815,3626194,39832597,476575872,,
90,12458367,162,16,362815,3626193,39832496,476570074,,
91,12458376,163,16,362815,3626193,39832506,476571047,,
92,12458637,164,16,362815,3626192,39832419,476566494,,
93,12458673,165,16,362815,3626194,39832599,476576070,6161506147,
94,12458736,166,16,362815,3626193,39832497,476570132,,
95,12458763,167,16,362815,3626195,39832685,476580449,,
96,12463578,168,16,362815,3626194,39832610,476577262,,
97,12463758,170,16,362815,3626192,39832434,476568061,,
98,12463785,171,16,362815,3626192,39832425,476567136,,
99,12463857,172,16,362815,3626192,39832425,476567143,,
100,12463875,173,16,362815,3626192,39832427,476567366,,
101,12465378,174,32,362815,3626194,39832606,476576851,,
102,12465738,176,16,362815,3626194,39832599,476576070,6161506790,
103,12465783,177,16,362815,3626195,39832689,476580851,6161703430,
104,12465837,178,16,362815,3626193,39832507,476571100,,
105,12465873,179,16,362815,3626195,39832688,476580745,6161696964,
106,12467358,180,16,362815,3626193,39832507,476571145,,
107,12467385,181,16,362815,3626193,39832501,476570485,,
108,12467538,182,16,362815,3626193,39832511,476571504,,
109,12467583,183,16,362815,3626193,39832517,476572049,,
110,12467835,184,16,362815,3626194,39832598,476575940,,
111,12467853,185,16,362815,3626194,39832599,476576067,6161505901,
112,12468357,186,16,362815,3626192,39832421,476566700,,
113,12468375,187,16,362815,3626191,39832334,476562216,,
114,12468537,188,16,362815,3626191,39832335,476562308,,
115,12468573,189,16,362815,3626193,39832515,476571869,,
116,12468735,190,16,362815,3626193,39832507,476571051,,
117,12468753,191,16,362815,3626193,39832513,476571669,,
118,12473568,192,16,362815,3626192,39832432,476567869,,
119,12473586,193,16,362815,3626191,39832346,476563483,,
120,12473658,194,16,362815,3626193,39832519,476572391,,
121,12473685,195,16,362815,3626191,39832342,476563058,,
122,12473856,196,16,362815,3626192,39832425,476567131,,
123,12473865,197,16,362815,3626192,39832422,476566862,,
124,12475368,198,16,362815,3626191,39832343,476563156,,
125,12475386,199,16,362815,3626191,39832338,476562649,,
126,12475638,200,16,362815,3626193,39832509,476571317,,
127,12475683,201,16,362815,3626193,39832514,476571754,6161334319,
