rank,pattern,contains_11,avoids_11
0,12345678,83923,39832877
1,12345687,83923,39832877
2,12345768,83922,39832878
3,12345786,84012,39832788
4,12345867,84012,39832788
5,12345876,83923,39832877
6,12346578,83922,39832878
7,12346587,83922,39832878
8,12346758,84097,39832703
9,12346785,84019,39832781
10,12346857,84099,39832701
11,12346875,84101,39832699
12,12347568,84097,39832703
13,12347586,84099,39832701
14,12347658,83922,39832878
15,12347685,84101,39832699
16,12347856,84018,39832782
17,12347865,84017,39832783
18,12348567,84019,39832781
19,12348576,84101,39832699
20,12348657,84101,39832699
21,12348675,84015,39832785
22,12348756,84017,39832783
23,12348765,83923,39832877
24,12354678,83922,39832878
25,12354687,83922,39832878
26,12354768,83921,39832879
27,12354786,84012,39832788
28,12354867,84012,39832788
29,12354876,83922,39832878
30,12356478,84101,39832699
31,12356487,84101,39832699
32,12356748,84111,39832689
33,12356784,84019,39832781
34,12356847,84279,39832521
35,12356874,84110,39832690
36,12357468,84186,39832614
37,12357486,84277,39832523
38,12357648,84190,39832610
39,12357684,84108,39832692
40,12357846,84197,39832603
41,12357864,84194,39832606
42,12358467,84275,39832525
43,12358476,84191,39832609
44,12358647,84364,39832436
45,12358674,84194,39832606
46,12358746,84279,39832521
47,12358764,84108,39832692
48,12364578,84101,39832699
49,12364587,84101,39832699
50,12364758,84186,39832614
51,12364785,84275,39832525
52,12364857,84277,39832523
53,12364875,84191,39832609
54,12365478,83922,39832878
55,12365487,83922,39832878
56,12365748,84190,39832610
57,12365784,84110,39832690
58,12365847,84194,39832606
59,12365874,84111,39832689
60,12367458,84109,39832691
61,12367485,84200,39832600
62,12367548,84107,39832693
63,12367584,84196,39832604
64,12367845,84022,39832778
65,12367854,84022,39832778
66,12368457,84200,39832600
67,12368475,84281,39832519
68,12368547,84278,39832522
69,12368574,84192,39832608
70,12368745,84112,39832688
71,12368754,84110,39832690
72,12374568,84111,39832689
73,12374586,84279,39832521
74,12374658,84190,39832610
75,12374685,84364,39832436
76,12374856,84197,39832603
77,12374865,84279,39832521
78,12375468,84190,39832610
79,12375486,84194,39832606
80,12375648,84104,39832696
81,12375684,84198,39832602
82,12375846,84280,39832520
83,12375864,84192,39832608
84,12376458,84107,39832693
85,12376485,84278,39832522
86,12376548,83922,39832878
87,12376584,84109,39832691
88,12376845,84112,39832688
89,12376854,84108,39832692
90,12378456,84022,39832778
91,12378465,84112,39832688
92,12378546,84112,39832688
93,12378564,84019,39832781
94,12378645,84024,39832776
95,12378654,84017,39832783
96,12384567,84019,39832781
97,12384576,84110,39832690
98,12384657,84108,39832692
99,12384675,84194,39832606
100,12384756,84194,39832606
101,12384765,84108,39832692
102,12385467,84110,39832690
103,12385476,84111,39832689
104,12385647,84198,39832602
105,12385674,84023,39832777
106,12385746,84192,39832608
107,12385764,84190,39832610
108,12386457,84196,39832604
109,12386475,84192,39832608
110,12386547,84109,39832691
